aspect,base_category
powerful,engine / power train
rapid charging,fuel / energy / charging
store,storage & utility
android auto,connectivity / integration
visors,comfort & ergonomics
green screen,displays / instrumentation
manual mode transmission,transmission
purchase,value / cost
insurance price,road terrain
socket,connectivity / integration
roof line,roof
automatic braking,brake
numbers,distance / efficiency / mileage
carrying larger items,boot / cargo
stick shift,transmission
graphics card,model / generic car terms
bottom,model / generic car terms
driving mode,drive
button placement,model / generic car terms
tailpipes,exhaust
power dependability,engine / power train
bmw entertainment system,model / generic car terms
headlining,interior materials & trim / finish
sound system,audio
footprint,dimensions & measurements
performance drivability,driving dynamics / handling
ambient lighting,lighting / indicators
current style,design
corner acceleration,cornering
step up,value / cost
deck,bonnet
f 30,model / generic car terms
automatic emergency breaking,brake
supportive gas struts,seats
seat pulling back,seats
shelf,storage & utility
led lighting,lighting / indicators
leg room,passenger space
rs3,model / generic car terms
engine,engine / power train
wireless charging,connectivity / integration
winding mountain roads,road terrain
getting stuff in and out,model / generic car terms
digital drivers display,drive
petrol usage,fuel / energy / charging
linearity,acceleration
precision,driving dynamics / handling
s8,model / generic car terms
lower dash plastic,displays / instrumentation
lock,keys & lock
digital climate control,climate / temperature control
body roll,body class
underfloor storage,storage & utility
gear stuff,transmission
cars,generic description & miscellaneous
power plant,engine / power train
grips,cornering
petrol,fuel / energy / charging
view out,visibility & view
silver screen,displays / instrumentation
door close,doors
braking,brake
launch control function,acceleration
small bump,road terrain
x two,model / generic car terms
experience in town (drive),drive
cruise control system,driver assistance
seat belt,seats
map lights,lighting / indicators
quattro drive system,model / generic car terms
shapes around instrument,design
amber lighting,lighting / indicators
backup camera,cameras
coat hooks,storage & utility
front practicality,comfort & ergonomics
traffic data,navigation / mapping
analog dials,displays / instrumentation
two keys,keys & lock
x drive system,drive
rear view mirror,visibility & view
one plastic,exterior materials & finish
cupholders,storage & utility
pedal configuration,brake
traction control system,traction / stability
sports mode,driving dynamics / handling
back seats,seats
g wagon,body type
steering resistance,steering
functions,functionality & features
cold weather,road terrain
modular system,software / interaction
interior upgrades,interior
mmi interface,software / interaction
steering comfort mode,comfort & ergonomics
ledge,lighting / indicators
bumpy road,road terrain
mountain road,road terrain
speed shift transmission,transmission
media centre,displays / instrumentation
pricier versions,value / cost
fold down seats,seats
optional heads up displays,displays / instrumentation
map,navigation / mapping
trim pieces,design
two axle air suspension,suspension
carbon ceramic discs,brake
driving in town,drive
upshifts,transmission
v8,engine / power train
headrest,seats
selector,physical controls
low speed manoeuvres,driving dynamics / handling
dry condition,road terrain
interior noise,interior
a3 gravitas,model / generic car terms
s8,model / generic car terms
digital instruments,displays / instrumentation
town traffic,road terrain
outward visibility,visibility & view
remote driving,drive
safety,safety
review,visibility & view
turning circle,cornering
first impression,emotional & sensory experience
front drive shafts,drive
sharp turn,cornering
long in the car,comfort & ergonomics
feedback,driving dynamics / handling
back windows,windows / glass
momentum99 fuel,fuel / energy / charging
mercedes sl,model / generic car terms
door mirrors,mirrors
large,dimensions & measurements
driving dynamics,driving dynamics / handling
driver display panel,displays / instrumentation
back space,passenger space
a4  g5 steering,steering
swerve control,traction / stability
rear pillars,chassis / structural
ambience,emotional & sensory experience
interiors,interior
automatic transmission,transmission
camber dirt road,road terrain
digital display,displays / instrumentation
panel,build quality / construction
reversing assistant tech,technology
damper control,suspension
second row seat,seats
build quality,build quality / construction
a4  g5,model / generic car terms
bmw drivers,model / generic car terms
rear parking sensors,parking
handle,doors
standard frame,build quality / construction
third row,passenger space
nap screen,displays / instrumentation
baby seats,seats
boosting,engine / power train
foot down (acceleration),acceleration
voice commands,voice & commands
distracted driving,safety
bmw air intake,model / generic car terms
screens,displays / instrumentation
head rest,seats
porsche 911,model / generic car terms
places in the front,passenger space
kilometres,distance / efficiency / mileage
hubs,wheels & tyres
engine start stop system,engine / power train
indicator lights,lighting / indicators
cameras,cameras
weight,weight
audi interface,model / generic car terms
rear,rear section
steering wheel button,steering
price point,road terrain
top speed,acceleration
change mode controls,driving dynamics / handling
roof,roof
pickup,acceleration
air 18,aerodynamics / airflow
revs,engine / power train
round town,road terrain
drive itself,drive
roof up,roof
window ledge,lighting / indicators
all controls,physical controls
headroom,passenger space
entertainment screen passenger view,visibility & view
parking,parking
feet adjustment,seats
drive position,drive
colors,design
aerodynamic,aerodynamics / airflow
ports,connectivity / integration
volume control,audio
engine response,engine / power train
manoeuvre,driving dynamics / handling
summer tires,wheels & tyres
porsche gearbox,transmission
gauges,displays / instrumentation
doors open,doors
comfort package,comfort & ergonomics
magnetic ride,drive
counter drive,drive
keys,keys & lock
tech,technology
front wheel,wheels & tyres
pumps sound,audio
auto-breaking,brake
works,functionality & features
air,aerodynamics / airflow
no rapid charging,fuel / energy / charging
grips in the corners,cornering
brakes,brake
steering rod,steering
adaptive steering,steering
soundtrack,audio
executive tier,packages / trims / variants
tire change pot,wheels & tyres
front wheel drive version,drive
magic sky control,roof
audi a3,model / generic car terms
rs lineage,model / generic car terms
dual clutch,transmission
agility,driving dynamics / handling
headroom backseat,passenger space
offroader,road terrain
roundabout,cornering
gear selector knob,transmission
parcel shelf,storage & utility
driver involvement,drive
flipping down the second row seats,aerodynamics / airflow
van lock,keys & lock
automatic engine start stop system,engine / power train
massage programs,comfort & ergonomics
cabinets,storage & utility
camera,cameras
ride quality,drive
wheelbase,chassis / structural
key,keys & lock
practicalities,comfort & ergonomics
adjustments,functional features
wet road,road terrain
lowering backseats,functional features
back door bins,storage & utility
headlight design,design
base x1,model / generic car terms
headlight control,lighting / indicators
interior,interior
sun roof,roof
backseat head room,passenger space
carrying three in the back,passenger space
footroom,passenger space
air suspension comfy setting,comfort & ergonomics
gi .a.,model / generic car terms
third row seat,seats
on road,road terrain
downshifts,transmission
cables,connectivity / integration
drive settings,model / generic car terms
loading things,boot / cargo
storage by steering,steering
sport setting,model / generic car terms
handling limit,driving dynamics / handling
off ramp,road terrain
city driving,drive
electric assistant,driver assistance
result,performance
"30,000 miles",distance / efficiency / mileage
turn in,cornering
displays,displays / instrumentation
window down,aerodynamics / airflow
tt,model / generic car terms
transition,seats
navigation control,navigation / mapping
virtual cockpit instrument,displays / instrumentation
bmw launch control,model / generic car terms
side mirrors,mirrors
beams,lighting / indicators
q a8,model / generic car terms
back features,functional features
advantages,functionality & features
systems,software / interaction
proposition,seats
power liftgate,engine / power train
corner grip,cornering
vision,visibility & view
sport plus mode,driving dynamics / handling
rear armrest,seats
handling balance,traction / stability
steering sport,steering
front bumpers,road terrain
gearbox manual mode,transmission
most plastics,exterior materials & finish
engine versions,engine / power train
engine turn off,engine / power train
lumbar support,seats
brake temperature,brake
backseat for people over 6 4,passenger space
gear shifts,transmission
doors,doors
seats,seats
sightlines,visibility & view
rear balance,traction / stability
window line,aerodynamics / airflow
boot section,boot / cargo
gearbox response,transmission
windscreen map,windscreen / wipers
fit,build quality / construction
load area,boot / cargo
suspension settings,model / generic car terms
alexis i,model / generic car terms
back shape,design
convertibles,body type
amg gt,model / generic car terms
sport mode steering,steering
climate controls,climate / temperature control
screen clarity,displays / instrumentation
steering buttons,steering
turns,cornering
pockets,storage & utility
tailgate opening,doors
g l a4,model / generic car terms
cruise control,driver assistance
soundproofing,roof
two litre diesel,fuel / energy / charging
bmw 7 60 li,model / generic car terms
general qualities,quality & durability
boot lid,boot / cargo
design feature,functionality & features
frontal progressions,front section
kit,options & specifications
body shell,body class
power buildup,build quality / construction
height,dimensions & measurements
all wheel drive,drive
optional surrounding cameras,cameras
engine,engine / power train
pulses,audio
tyre roll,wheels & tyres
new m3,model / generic car terms
seven series,model / generic car terms
petrol charging,fuel / energy / charging
quick charge system,fuel / energy / charging
airflow,aerodynamics / airflow
infotainment platform,software / interaction
noise,audio
deals,value / cost
under the car,model / generic car terms
digital gauge cluster,displays / instrumentation
charging the battery,model / generic car terms
manoeuvring,steering
voice grins,road terrain
feature,functionality & features
engine pulling power,engine / power train
manual driving,transmission
cushioning,seats
m two,model / generic car terms
family car,body type
powertrain,engine / power train
scuff plate,exterior materials & finish
a4,model / generic car terms
steering response,steering
seat,seats
whole,generic description & miscellaneous
old v8 sound,engine / power train
profile,design
turning volume with index finger,cornering
headspace,passenger space
layout,design
internet connectivity package,connectivity / integration
new rs6 300d gt-r,model / generic car terms
carbon fibre engine cover,engine / power train
rear seat headroom,passenger space
portfolio,functionality & features
automatic engine shutoff,engine / power train
steer,steering
sl c300,model / generic car terms
luxury,emotional & sensory experience
seat shape,design
backseat,seats
panels,build quality / construction
bins,storage & utility
body panels,body class
offer,value / cost
traditional amber lighting,lighting / indicators
brand,generic description & miscellaneous
corner breaking,cornering
eight speed automatic transmission,transmission
corners,cornering
trim without extra bits,design
new g class,model / generic car terms
type,body type
handling appeal,driving dynamics / handling
steering turn,steering
full sports plus mode,driving dynamics / handling
x drive system,drive
heavy items,boot / cargo
fuel momentum99,fuel / energy / charging
audi rs,model / generic car terms
wifi speed,connectivity / integration
grip,cornering
shopping basket,boot / cargo
compartmentalize stuff,storage & utility
daily traffic,road terrain
rear apron,boot / cargo
rev limit,engine / power train
v10 engine,engine / power train
dynamic ability,driving dynamics / handling
clutch,transmission
drive mode,drive
aluminium finish,interior materials & trim / finish
insulation,comfort & ergonomics
petrol tank,fuel / energy / charging
