,aspect,base_category
1957,rear door bins,storage & utility
1958,sport and performance package,climate / temperature control
1959,view,visibility & view
1960,wipers,windscreen / wipers
1961,key start,keys & lock
1962,five and 1/2 1000 rpm,engine/ power train
1963,box,boot/cargo
1964,variable rate steering,steering
1965,exhaust sound,exhaust
1966,dynamic driving mode,drive
1967,digital dollars,value / cost
1968,boot features,Functionality & Features
1969,rear lights,lighting
1970,rear deck lid,boot/cargo
1971,nose,front section
1972,upgrade,options & specifications
1973,condition,build quality / construction
1974,usablility,Comfort & Ergonomics
1975,auxiliary connectors,Connectivity / Integration
1976,manual paddles,transmission
1977,rear visibility,visibility & view
1978,driver assistant pack,drive
1979,bulbs,lighting
1980,audi grills,model / generic car terms
1981,speaker sound system,audio
1982,two in the back,Passenger Space
1983,door bins,storage & utility
1984,i drive,drive
1985,bumpers,road terrain
1986,visors,Comfort & Ergonomics
1987,steering at speed,steering
1988,drive motor,drive
1989,window surrounds,aerodynamics / airflow
1990,safety features,Functionality & Features
1991,corner handling,Driving Dynamics / Handling
1992,quadrille wheel drive,drive
1993,designed,Design
1994,handling right,Driving Dynamics / Handling
1995,m performance version,model / generic car terms
1996,standard equipment,Equipment
1997,coat off,Exterior Materials & Finish
1998,soft touch plastics,interior materials & trim / finish
1999,someone over six foot,passenger space
2000,builds,Build Quality / Construction
2001,2.1 litre diesel engine,engine / power train
2002,auto bends,cornering
2003,panoramic sunroof,roof
2004,real wood,interior materials & trim / finish
2005,load height,boot/cargo
2006,mirror,mirrors
2007,details,design
2008,turning radius,cornering
2009,exhaust pipe surround,exhaust
2010,steering mode,steering
2011,liftgate,boot/cargo
2012,window,aerodynamics / airflow
2013,electrically operated steering column,steering
2014,road conditions,road terrain
2015,power trade,engine/ power train
2016,lower bumper,road terrain
2017,side profile,body class
2018,verdict,Emotional & Sensory Experience
2019,screen interface,climate / temperature control
2020,satin finish line,interior materials & trim / finish
2021,stopping power,engine/ power train
2022,view changes,visibility & view
2023,move,Driving Dynamics / Handling
2024,engineering,engine / power train
2025,rear executive seat package,climate / temperature control
2026,metal roof,roof
2027,smoke,exhaust
2028,firmness,suspension
2029,electric lumbar support,Seats
2030,mercedes-benz star,model / generic car terms
2031,mercedes glc,model / generic car terms
2032,a8 series,model / generic car terms
2033,area,Storage & Utility
2034,windshield,aerodynamics / airflow
2035,efficiency mode,fuel / energy / charging
2036,exhaust pipes,exhaust
2037,foot wells,passenger space
2038,gle 350,model / generic car terms
2039,tail,rear section
2040,midnight edition,packages / trims / variants
2041,tethering point,connectivity / integration
2042,prestige trim level,Design
2043,shift button,model / generic car terms
2044,apple carplay,connectivity / integration
2045,sports mode sound,audio
2046,body,body class
2047,exhausts pipes,exhaust
2048,piloted drive system,drive
2049,capacity,climate / temperature control
2050,boot liner,boot/cargo
2051,horsepower,engine/ power train
2052,normal driving,drive
2053,rear space,Passenger Space
2054,servicing,value / cost
2055,buying,value / cost
2056,handling package,Driving Dynamics / Handling
2057,four zone climate control,climate / temperature control
2058,road noise levels,audio
2059,twin turbo petrol horsepower,engine/ power train
2060,big boy twin turbo,engine/ power train
2061,head space,Passenger Space
2062,front seat control,seats
2063,s line suspension,suspension
2064,portia 7 18,model / generic car terms
2065,slow speed,model / generic car terms
2066,delivery,value / cost
2067,bumps dynamic mode,road terrain
2068,tie down tethers,boot/cargo
2069,backseat headroom,Passenger Space
2070,boots,boot/cargo
2071,infotainment system knob,physical controls
2072,a piece of plastic,exterior materials & finish
2073,lighting functions,Functionality & Features
2074,product,Generic Description & Miscellaneous
2075,motor noise,engine/ power train
2076,braking field,brake
2077,power surge,engine/ power train
2078,front engine,engine / power train
2079,x3 suspension,suspension
2080,rides,drive
2081,usefulness,Storage & Utility
2082,cubby,storage & utility
2083,number keypad,physical controls
2084,3 series,model / generic car terms
2085,emergency assist,safety
2086,body style,body class
2087,high pressure oil system,engine / power train
2088,bmw 6 50,model / generic car terms
2089,size,dimensions & measurements
2090,gas cap,fuel / energy / charging
2091,e 63,model / generic car terms
2092,miles per gallon,Distance / Efficiency / Mileage
2093,lag,performance
2094,upgraded command system definition,software / interaction
2095,apple carplay price,connectivity / integration
2096,shift,transmission
2097,speed limiter,acceleration
2098,cell phone spot,connectivity / integration
2099,ico pro mode,fuel / energy / charging
2100,ambient lighting package,climate / temperature control
2101,top down air,roof
2102,bmw s4,model / generic car terms
2103,f40 5 a.m. g suspension,model / generic car terms
2104,gt three operating window,model / generic car terms
2105,gesture commands,gesture / motion controls
2106,towing,Functional Features
2107,electronically controlled dampers,lighting
2108,outside wheels,wheels & tyres
2109,leather seats,seats
2110,performers,performance
2111,sound proofing,roof
2112,drive version,drive
2113,clicking sound,audio
2114,rear quarter lights,lighting
2115,push,acceleration
2116,roar,audio
2117,start stop feature,Functionality & Features
2118,rear differential,traction / stability
2119,steering adjustment,Steering
2120,alcantara,interior materials & trim / finish
2121,door handle inserts,Doors
2122,tailgated,boot/cargo
2123,suspension redesign,Design
2124,spoiler button,fuel / energy / charging
2125,car racing technology increments,Performance
2126,fidget,Emotional & Sensory Experience
2127,acceleration in efficiency mode,climate / temperature control
2128,balance point,traction / stability
2129,back frame,Build Quality / Construction
2130,oversteer,steering
2131,back pillars,Chassis / Structural
2132,headlamps,lighting
2133,weight ratio,weight
2134,automatic canister,Fuel / Energy / Charging
2135,nine speed automatic transmission,transmission
2136,front seat,seats
2137,rivals,Model / Generic Car Terms
2138,snow and ice,road terrain
2139,under floor storage,storage & utility
2140,high speeds,acceleration
2141,newest s class,model / generic car terms
2142,front motor,engine/ power train
2143,front passenger seat fittings,model / generic car terms
2144,touring,Packages / Trims / Variants
2145,sunroof,roof
2146,slope,model / generic car terms
2147,off roading,road terrain
2148,talking price,road terrain
2149,rpm,engine/ power train
2150,standard screen,displays / instrumentation
2151,suv,body type
2152,door opening,doors
2153,lack of cabin noise,climate / temperature control
2154,long drives,drive
2155,engineered,engine / power train
2156,seat buttons,model / generic car terms
2157,aero bits,aerodynamics / airflow
2158,upward visibility,visibility & view
2159,turbo power,engine/ power train
2160,battery location,model / generic car terms
2161,three litre diesel engine,engine / power train
2162,satnav system,navigation / mapping
2163,gas struts,chassis / structural
2164,parking sensors,parking
2165,height from ground,dimensions & measurements
2166,pulling power,engine/ power train
2167,normal mode sound,audio
2168,downshift,transmission
2169,quattro system,model / generic car terms
2170,exterior design,exterior materials & finish
2171,pillars,chassis / structural
2172,color,Design
2173,ride,drive
2174,automatic tailgate,boot/cargo
2175,spoiler,fuel / energy / charging
2176,under storage,storage & utility
2177,sports mode gearbox,transmission
2178,hard corners,cornering
2179,drive everyday,drive
2180,passenger seat,seats
2181,start up,engine / power train
2182,middle,Passenger Space
2183,offroad grip,cornering / grip
2184,driving position,drive
2185,blow,Climate / Temperature Control
2186,gt,model / generic car terms
2187,offroad,road terrain
2188,sports steering,steering
2189,speeds,acceleration
2190,green color,Design
2191,wind whistle,audio
2192,technology pack processor,Technology
2193,dashes,displays / instrumentation
2194,parking system,parking
2195,front trunk,boot/cargo
2196,acceleration,climate / temperature control
2197,auto emergency braking,brake
2198,driving through central london,drive
2199,exhaust system,exhaust
2200,middle seat headroom,Passenger Space
2201,rear seat legroom,Passenger Space
2202,remote key operations,driver assistance
2203,back door,Doors
2204,downforce,aerodynamics / airflow
2205,practical,Comfort & Ergonomics
2206,audio inputs,model / generic car terms
2207,screen for air conditioning,displays / instrumentation
2208,detail,design
2209,accents,Design
2210,floor,Interior
2211,twin turbo petrol torque,engine/ power train
2212,carbon footprint,model / generic car terms
2213,privacy glass,climate / temperature control
2214,headlights,lighting
2215,m5,model / generic car terms
2216,dr selector,physical controls
2217,body structure,body class
2218,middle seat,seats
2219,passenger in the back,Passenger Space
2220,motor,engine/ power train
2221,a3,model / generic car terms
2222,control over driving,drive
2223,spring rate,suspension
2224,camera mirrors,mirrors
2225,center arm rest,seats
2226,quattro ultra system,model / generic car terms
2227,gear selection,transmission
2228,extend front part seat,seats
2229,side finish,interior materials & trim / finish
2230,boot door,boot/cargo
2231,bolsters on steering,steering
2232,comforts,Comfort & Ergonomics
2233,acceleration,climate / temperature control
2234,s3,model / generic car terms
2235,drive feel,Emotional & Sensory Experience
2236,drive modes,drive
2237,hybrid technology,Fuel / Energy / Charging
2238,passenger,passenger space
2239,super sideways,body class
2240,riding,drive
2241,parcel shelf,storage & utility
2242,security,safety
2243,rearward facing child seats,climate / temperature control
2244,offroading traction control,climate / temperature control
2245,power,engine/ power train
2246,reading lights,lighting
2247,radio system,audio
2248,google earth,navigation / mapping
2249,door bin front,storage & utility
2250,plastics,exterior materials & finish
2251,c pillar,chassis / structural
2252,air intake gt-r,model / generic car terms
2253,front seat set,seats
2254,folds in back seat,Seats
2255,springs,suspension
2256,phone cradle,connectivity / integration
2257,priced,road terrain
2258,comfort suspension,Comfort & Ergonomics
2259,navigation,navigation / mapping
2260,netted areas,Storage & Utility
2261,carbon fibre,exterior materials & finish
2262,track driving,climate / temperature control
2263,body control,body class
2264,switch between screens,displays / instrumentation
2265,front,front section
2266,tight spaces,Passenger Space
2267,tied down points,boot/cargo
2268,twisty road,road terrain
2269,upgraded command system screen,displays / instrumentation
2270,a5,model / generic car terms
2271,simplicity,Comfort & Ergonomics
2272,front quarters,passenger space
2273,folding mirrors,mirrors
2274,safety technology,Technology
2275,carrying three in back,Passenger Space
2276,miles an hour,Distance / Efficiency / Mileage
2277,adaptive suspension comfort mode,Driving Dynamics / Handling
2278,rear passengers,passenger space
2279,deck lid,bonnet
2280,writing pad,storage & utility
2281,bmw m3,model / generic car terms
2282,door tops,doors
2283,undulations of the road,road terrain
2284,seating flexibility,seats
2285,a6 500e f40,model / generic car terms
2286,knee rooms,Passenger Space
2287,spare wheel,wheels & tyres
2288,three action,climate / temperature control
2289,traffic,road terrain
2290,range,Fuel / Energy / Charging
2291,throb,audio
2292,corner handle,cornering
2293,cable,connectivity / integration
2294,two litre tf excitable petrol,fuel / energy / charging
2295,back style,Design
2296,going reverse,Transmission
2297,no underfloor storage,storage & utility
2298,carrying three,model / generic car terms
2299,philosophy,Emotional & Sensory Experience
2300,entertainment system,software / interaction
2301,a6 back,model / generic car terms
2302,power distribution,engine/ power train
2303,recline,seats
2304,legs,Passenger Space
2305,carrying three abreast,passenger space
2306,optional backup camera,Cameras
2307,parallel parking,parking
2308,s90,model / generic car terms
2309,audi q7,model / generic car terms
2310,overall look,Design
2311,optional led 19 system,lighting
2312,hook,Storage & Utility
2313,dynamic engine,engine / power train
2314,leg side bolsters,seats
2315,dashboard,displays / instrumentation
2316,touch pad swivel world system,software / interaction
2317,assist,driver assistance
2318,extendable seat base,seats
2319,tire rim,wheels & tyres
2320,battery management system,model / generic car terms
2321,interior overall,interior
2322,diesel model fuel tank,fuel / energy / charging
2323,servicing plan,value / cost
2324,unfamiliar back roads,Road Terrain
2325,gap in the back,Build Quality / Construction
2326,turbo petrol engine,engine / power train
2327,a 35,model / generic car terms
2328,parking center switch,parking
2329,grip,cornering / grip
2330,blade panel,Exterior Materials & Finish
2331,mastering the system,software / interaction
2332,0 to 60 time,acceleration
2333,silhouette,Design
2334,switches and dials,displays / instrumentation
2335,maximum cargo space,Passenger Space
2336,van,body type
2337,steering wheel adjustment,Steering
2338,phone box,boot/cargo
2339,entry level petrol engine,engine / power train
2340,rear bumper,road terrain
2341,quality,build quality / construction
2342,drive,drive
2343,e class,model / generic car terms
2344,back digital climate control,climate / temperature control
2345,rail,Chassis / Structural
2346,straight line,road terrain
2347,display screen,displays / instrumentation
2348,system,software / interaction
2349,beam,Lighting / Indicators
2350,seat backs,Seats
2351,handbrake,brake
2352,counter,Displays / Instrumentation
2353,sport steering,steering
2354,mercedes-benz e class,model / generic car terms
2355,minivan,body type
2356,center screen,displays / instrumentation
2357,gear change sound,transmission
2358,performance exhaust,exhaust
2359,children,Passenger Space
2360,key less entry,doors
2361,steering ratio ride,steering
2362,instrument cluster,displays / instrumentation
2363,sports suspension,suspension
2364,tire noise,audio
2365,shifts,transmission
2366,corner balance,traction / stability
2367,comfort ico plus,Comfort & Ergonomics
2368,child seat,seats
2369,sit,seats
2370,side wall,side section
2371,pillar for leaning on window,chassis / structural
2372,power delivery,engine/ power train
2373,performance level,performance
2374,stops,brake
2375,back light bar,Lighting / Indicators
2376,engine output,engine / power train
2377,front seats,seats
2378,gap,Build Quality / Construction
2379,e400 twin turbo v six power,engine/ power train
2380,composure,Driving Dynamics / Handling
2381,electrical system,software / interaction
2382,dynamism,Driving Dynamics / Handling
2383,anti-roll bars,traction / stability
2384,8 siris,voice & commands
2385,right hand drive steering,steering
2386,car storage,storage & utility
2387,central screen,displays / instrumentation
2388,rain sensing windshield wiper,aerodynamics / airflow
2389,design ethos,Design
2390,front climbing and back,Passenger Space
2391,manual gearbox,transmission
2392,event,aerodynamics / airflow
2393,construction,build quality / construction
2394,electronic stability off,traction / stability
2395,tail lights,lighting
2396,panoramic moon,Roof
2397,finishing,interior materials & trim / finish
2398,ionic range,Fuel / Energy / Charging
2399,foot walls,Seats
2400,seat up,seats
2401,mpg sports mode,Driving Dynamics / Handling
2402,packs,climate / temperature control
2403,spec,Options & Specifications
2404,hatchback,Body Type
2405,persona,design
2406,sun visor,Comfort & Ergonomics
2407,public charges,fuel / energy / charging
2408,especially back,Rear Section
2409,centre of gravity,weight
2410,gearshift,transmission
2411,chairs,seats
2412,camera angle,cameras
2413,pockets in backseat,Storage & Utility
2414,f40 5 a.m. g brakes,model / generic car terms
2415,normal screen,displays / instrumentation
2416,performance power,engine/ power train
2417,weight distribution,weight
2418,manual mode,transmission
2419,back wheel,Wheels & Tyres
2420,rear seat roadster,seats
2421,hybrid model,fuel / energy / charging
2422,back side seats,Seats
2423,car seat,seats
2424,new three series,model / generic car terms
2425,2.5 litre petrol engine,engine / power train
2426,battery upgrade,model / generic car terms
2427,dry road,road terrain
2428,setup,Functional Features
2429,a4 quatro,model / generic car terms
2430,auto driving,drive
2431,economy,Distance / Efficiency / Mileage
2432,legroom,Passenger Space
2433,load lifter,boot/cargo
2434,audi a5,model / generic car terms
2435,new sl,model / generic car terms
2436,base,chassis / structural
2437,back head room,Passenger Space
2438,interior sophistication,interior
2439,auto mode,Driving Dynamics / Handling
2440,side,side section
2441,sporting events,Functionality & Features
2442,upgraded professional satnav,navigation / mapping
2443,mercedes e class coupe a,body type
2444,format,Displays / Instrumentation
2445,back seat elongated bracket,Seats
2446,lifespan,value / cost
2447,design,Design
2448,upgraded satellite system,navigation / mapping
2449,s class,model / generic car terms
2450,lines,design
2451,black stitching,climate / temperature control
2452,second generation,model / generic car terms
2453,transmission tunnel,transmission
2454,menu,software / interaction
2455,electronics,Technology
2456,sounds,audio
2457,magic vision control,visibility & view
2458,automatic gearbox,transmission
2459,dynamic sport mode,Driving Dynamics / Handling
2460,drive in narrow streets,drive
2461,a5 sport back,Model / Generic Car Terms
2462,front toe handle,Doors
2463,s three price,road terrain
2464,pillar,chassis / structural
2465,newest s class price,model / generic car terms
2466,standard kit,options & specifications
2467,set up,Functional Features
2468,climate control knobs,climate / temperature control
2469,wood grain,interior materials & trim / finish
2470,memory settings,model / generic car terms
2471,bay,Engine / Power Train
2472,powerful,engine/ power train
2473,rapid charging,fuel / energy / charging
2474,store,storage & utility
2475,android auto,connectivity / integration
2476,visors,Comfort & Ergonomics
2477,green screen,displays / instrumentation
2478,manual mode transmission,transmission
2479,purchase,value / cost
2480,insurance price,road terrain
2481,socket,connectivity / integration
2482,roof line,roof
2483,automatic braking,brake
2484,numbers,Distance / Efficiency / Mileage
2485,carrying larger items,boot/cargo
2486,stick shift,transmission
2487,graphics card,model / generic car terms
2488,bottom,model / generic car terms
2489,driving mode,drive
2490,button placement,model / generic car terms
2491,tailpipes,exhaust
2492,power dependability,engine/ power train
2493,bmw entertainment system,model / generic car terms
2494,headlining,interior materials & trim / finish
2495,sound system,audio
2496,footprint,Dimensions & Measurements
2497,performance drivability,Driving Dynamics / Handling
2498,ambient lighting,lighting
2499,current style,Design
2500,corner acceleration,climate / temperature control
2501,step up,Value / Cost
2502,deck,bonnet
2503,f 30,model / generic car terms
2504,automatic emergency breaking,brake
2505,supportive gas struts,seats
2506,seat pulling back,Seats
2507,shelf,storage & utility
2508,led lighting,lighting
2509,leg room,Passenger Space
2510,rs3,model / generic car terms
2511,engine,engine / power train
2512,wireless charging,connectivity / integration
2513,winding mountain roads,road terrain
2514,getting stuff in and out,model / generic car terms
2515,digital drivers display,drive
2516,petrol usage,fuel / energy / charging
2517,linearity,acceleration
2518,precision,Driving Dynamics / Handling
2519,s8,model / generic car terms
2520,lower dash plastic,displays / instrumentation
2521,lock,keys & lock
2522,digital climate control,climate / temperature control
2523,body roll,body class
2524,underfloor storage,storage & utility
2525,gear stuff,transmission
2526,cars,Generic Description & Miscellaneous
2527,power plant,engine/ power train
2528,grips,cornering / grip
2529,petrol,fuel / energy / charging
2530,view out,visibility & view
2531,silver screen,displays / instrumentation
2532,door close,doors
2533,braking,brake
2534,launch control function,acceleration
2535,small bump,road terrain
2536,x two,model / generic car terms
2537,experience in town (drive),drive
2538,cruise control system,driver assistance
2539,seat belt,seats
2540,map lights,lighting
2541,quattro drive system,model / generic car terms
2542,shapes around instrument,Design
2543,amber lighting,lighting
2544,backup camera,Cameras
2545,coat hooks,Storage & Utility
2546,front practicality,Comfort & Ergonomics
2547,traffic data,navigation / mapping
2548,analog dials,displays / instrumentation
2549,two keys,keys & lock
2550,x drive system,drive
2551,rear view mirror,visibility & view
2552,one plastic,exterior materials & finish
2553,cupholders,storage & utility
2554,pedal configuration,brake
2555,traction control system,climate / temperature control
2556,sports mode,Driving Dynamics / Handling
2557,back seats,Seats
2558,g wagon,body type
2559,steering resistance,steering
2560,functions,Functionality & Features
2561,cold weather,road terrain
2562,modular system,software / interaction
2563,interior upgrades,interior
2564,mmi interface,climate / temperature control
2565,steering comfort mode,Comfort & Ergonomics
2566,ledge,lighting
2567,bumpy road,road terrain
2568,mountain road,road terrain
2569,speed shift transmission,transmission
2570,media centre,displays / instrumentation
2571,pricier versions,value / cost
2572,fold down seats,seats
2573,optional heads up displays,displays / instrumentation
2574,map,navigation / mapping
2575,trim pieces,Design
2576,two axle air suspension,suspension
2577,carbon ceramic discs,brake
2578,driving in town,drive
2579,upshifts,transmission
2580,v8,engine/ power train
2581,headrest,seats
2582,selector,physical controls
2583,low speed manoeuvres,Driving Dynamics / Handling
2584,dry condition,road terrain
2585,interior noise,interior
2586,a3 gravitas,model / generic car terms
2587,s8,model / generic car terms
2588,digital instruments,displays / instrumentation
2589,town traffic,road terrain
2590,outward visibility,visibility & view
2591,remote driving,drive
2592,safety,safety
2593,review,visibility & view
2594,turning circle,cornering
2595,first impression,emotional & sensory experience
2596,front drive shafts,drive
2597,sharp turn,cornering
2598,long in the car,Comfort & Ergonomics
2599,feedback,Driving Dynamics / Handling
2600,back windows,Windows / Glass
2601,momentum99 fuel,fuel / energy / charging
2602,mercedes sl,model / generic car terms
2603,door mirrors,mirrors
2604,large,Dimensions & Measurements
2605,driving dynamics,Driving Dynamics / Handling
2606,driver display panel,Displays / Instrumentation
2607,back space,Passenger Space
2608,a4  g5 steering,steering
2609,swerve control,traction / stability
2610,rear pillars,chassis / structural
2611,ambience,Emotional & Sensory Experience
2612,interiors,interior
2613,automatic transmission,transmission
2614,camber dirt road,road terrain
2615,digital display,displays / instrumentation
2616,panel,Build Quality / Construction
2617,reversing assistant tech,Technology
2618,damper control,suspension
2619,second row seat,seats
2620,build quality,build quality / construction
2621,a4  g5,model / generic car terms
2622,bmw drivers,model / generic car terms
2623,rear parking sensors,parking
2624,handle,Doors
2625,standard frame,build quality / construction
2626,third row,passenger space
2627,nap screen,displays / instrumentation
2628,baby seats,seats
2629,boosting,engine / power train
2630,foot down (acceleration),climate / temperature control
2631,voice commands,voice & commands
2632,distracted driving,climate / temperature control
2633,bmw air intake,model / generic car terms
2634,screens,displays / instrumentation
2635,head rest,seats
2636,porsche 911,model / generic car terms
2637,places in the front,climate / temperature control
2638,kilometres,Distance / Efficiency / Mileage
2639,hubs,wheels & tyres
2640,engine start stop system,engine / power train
2641,indicator lights,lighting
2642,cameras,cameras
2643,weight,weight
2644,audi interface,model / generic car terms
2645,rear,rear section
2646,steering wheel button,steering
2647,price point,road terrain
2648,top speed,acceleration
2649,change mode controls,Driving Dynamics / Handling
2650,roof,roof
2651,pickup,acceleration
2652,air 18,aerodynamics / airflow
2653,revs,engine/ power train
2654,round town,road terrain
2655,drive itself,drive
2656,roof up,roof
2657,window ledge,lighting
2658,all controls,physical controls
2659,headroom,Passenger Space
2660,entertainment screen passenger view,visibility & view
2661,parking,parking
2662,feet adjustment,Seats
2663,drive position,drive
2664,colors,Design
2665,aerodynamic,aerodynamics / airflow
2666,ports,connectivity / integration
2667,volume control,audio
2668,engine response,engine / power train
2669,manoeuvre,Driving Dynamics / Handling
2670,summer tires,wheels & tyres
2671,porsche gearbox,transmission
2672,gauges,displays / instrumentation
2673,doors open,doors
2674,comfort package,Comfort & Ergonomics
2675,magnetic ride,drive
2676,counter drive,drive
2677,keys,keys & lock
2678,tech,Technology
2679,front wheel,wheels & tyres
2680,pumps sound,audio
2681,auto-breaking,brake
2682,works,Functionality & Features
2683,air,aerodynamics / airflow
2684,no rapid charging,fuel / energy / charging
2685,grips in the corners,cornering / grip
2686,brakes,brake
2687,steering rod,steering
2688,adaptive steering,steering
2689,soundtrack,climate / temperature control
2690,executive tier,packages / trims / variants
2691,tire change pot,wheels & tyres
2692,front wheel drive version,drive
2693,magic sky control,roof
2694,audi a3,model / generic car terms
2695,rs lineage,model / generic car terms
2696,dual clutch,transmission
2697,agility,Driving Dynamics / Handling
2698,headroom backseat,Passenger Space
2699,offroader,road terrain
2700,roundabout,cornering
2701,gear selector knob,transmission
2702,parcel shelf,storage & utility
2703,driver involvement,drive
2704,flipping down the second row seats,aerodynamics / airflow
2705,van lock,keys & lock
2706,automatic engine start stop system,engine / power train
2707,massage programs,Comfort & Ergonomics
2708,cabinets,storage & utility
2709,camera,cameras
2710,ride quality,drive
2711,wheelbase,chassis / structural
2712,key,keys & lock
2713,practicalities,Comfort & Ergonomics
2714,adjustments,Functional Features
2715,wet road,road terrain
2716,lowering backseats,Functional Features
2717,back door bins,Storage & Utility
2718,headlight design,Design
2719,base x1,model / generic car terms
2720,headlight control,lighting
2721,interior,interior
2722,sun roof,roof
2723,backseat head room,Passenger Space
2724,carrying three in the back,Passenger Space
2725,footroom,Passenger Space
2726,air suspension comfy setting,Comfort & Ergonomics
2727,gi .a.,model / generic car terms
2728,third row seat,seats
2729,on road,road terrain
2730,downshifts,transmission
2731,cables,connectivity / integration
2732,drive settings,model / generic car terms
2733,loading things,boot/cargo
2734,storage by steering,steering
2735,sport setting,model / generic car terms
2736,handling limit,Driving Dynamics / Handling
2737,off ramp,road terrain
2738,city driving,drive
2739,electric assistant,driver assistance
2740,result,performance
2741,"30,000 miles",Distance / Efficiency / Mileage
2742,turn in,cornering
2743,displays,displays / instrumentation
2744,window down,aerodynamics / airflow
2745,tt,model / generic car terms
2746,transition,seats
2747,navigation control,navigation / mapping
2748,virtual cockpit instrument,displays / instrumentation
2749,bmw launch control,model / generic car terms
2750,side mirrors,mirrors
2751,beams,Lighting / Indicators
2752,q a8,model / generic car terms
2753,back features,Functional Features
2754,advantages,Functionality & Features
2755,systems,software / interaction
2756,proposition,seats
2757,power liftgate,engine/ power train
2758,corner grip,cornering / grip
2759,vision,visibility & view
2760,sport plus mode,Driving Dynamics / Handling
2761,rear armrest,seats
2762,handling balance,traction / stability
2763,steering sport,steering
2764,front bumpers,road terrain
2765,gearbox manual mode,Transmission
2766,most plastics,exterior materials & finish
2767,engine versions,engine / power train
2768,engine turn off,engine / power train
2769,lumbar support,Seats
2770,brake temperature,brake
2771,backseat for people over 6 4,Passenger Space
2772,gear shifts,transmission
2773,doors,doors
2774,seats,seats
2775,sightlines,visibility & view
2776,rear balance,traction / stability
2777,window line,aerodynamics / airflow
2778,boot section,boot/cargo
2779,gearbox response,transmission
2780,windscreen map,windscreen / wipers
2781,fit,build quality / construction
2782,load area,boot/cargo
2783,suspension settings,model / generic car terms
2784,alexis i,model / generic car terms
2785,back shape,Design
2786,convertibles,body type
2787,amg gt,model / generic car terms
2788,sport mode steering,steering
2789,climate controls,climate / temperature control
2790,screen clarity,displays / instrumentation
2791,steering buttons,steering
2792,turns,cornering
2793,pockets,storage & utility
2794,tailgate opening,doors
2795,g l a4,model / generic car terms
2796,cruise control,driver assistance
2797,soundproofing,roof
2798,two litre diesel,fuel / energy / charging
2799,bmw 7 60 li,model / generic car terms
2800,general qualities,Functionality & Features
2801,boot lid,boot/cargo
2802,design feature,Functionality & Features
2803,frontal progressions,Front Section
2804,kit,options & specifications
2805,body shell,body class
2806,power buildup,build quality / construction
2807,height,dimensions & measurements
2808,all wheel drive,drive
2809,optional surrounding cameras,cameras
2810,engine,engine / power train
2811,pulses,audio
2812,tyre roll,Wheels & Tyres
2813,new m3,model / generic car terms
2814,seven series,model / generic car terms
2815,petrol charging,fuel / energy / charging
2816,quick charge system,fuel / energy / charging
2817,airflow,aerodynamics / airflow
2818,infotainment platform,software / interaction
2819,noise,audio
2820,deals,value / cost
2821,under the car,model / generic car terms
2822,digital gauge cluster,displays / instrumentation
2823,charging the battery,model / generic car terms
2824,manoeuvring,steering
2825,voice grins,road terrain
2826,feature,Functionality & Features
2827,engine pulling power,engine / power train
2828,manual driving,transmission
2829,cushioning,seats
2830,m two,model / generic car terms
2831,family car,body type
2832,powertrain,engine/ power train
2833,scuff plate,Exterior Materials & Finish
2834,a4,model / generic car terms
2835,steering response,steering
2836,seat,seats
2837,whole,Generic Description & Miscellaneous
2838,old v8 sound,engine/ power train
2839,profile,Design
2840,turning volume with index finger,cornering
2841,headspace,Passenger Space
2842,layout,design
2843,internet connectivity package,climate / temperature control
2844,new rs6 300d gt-r,model / generic car terms
2845,carbon fibre engine cover,engine / power train
2846,rear seat headroom,Passenger Space
2847,portfolio,Functionality & Features
2848,automatic engine shutoff,engine / power train
2849,steer,steering
2850,sl c300,model / generic car terms
2851,luxury,emotional & sensory experience
2852,seat shape,Design
2853,backseat,Seats
2854,panels,Build Quality / Construction
2855,bins,storage & utility
2856,body panels,Body Class
2857,offer,value / cost
2858,traditional amber lighting,lighting
2859,brand,Generic Description & Miscellaneous
2860,corner breaking,cornering
2861,eight speed automatic transmission,transmission
2862,corners,cornering
2863,trim without extra bits,Design
2864,new g class,model / generic car terms
2865,type,Body Type
2866,handling appeal,Driving Dynamics / Handling
2867,steering turn,steering
2868,full sports plus mode,Driving Dynamics / Handling
2869,x drive system,drive
2870,heavy items,boot/cargo
2871,fuel momentum99,fuel / energy / charging
2872,audi rs,model / generic car terms
2873,wifi speed,connectivity / integration
2874,grip,cornering / grip
2875,shopping basket,boot/cargo
2876,compartmentalize stuff,storage & utility
2877,daily traffic,road terrain
2878,rear apron,boot/cargo
2879,rev limit,engine/ power train
2880,v10 engine,engine / power train
2881,dynamic ability,Driving Dynamics / Handling
2882,clutch,transmission
2883,drive mode,drive
2884,aluminium finish,interior materials & trim / finish
2885,insulation,Comfort & Ergonomics
